SUBJECT	SESSION	RUN	TRIAL	73KID	10KID	TIME	ISOLD	ISCORRECT	RT	CHANGEMIND	MEMORYRECENT	MEMORYFIRST	ISOLDCURRENT	ISCORRECTCURRENT	TOTAL1	TOTAL2	BUTTON	MISSINGDATA
3	1	1	46	9188	4586	0.40170625911559909582	1	1	1276.5946109866490588	1	28	NaN	1	1	1	1	2	0
3	1	1	47	36914	1499	0.4017525514354929328	0	1	966.31143699050880969	0	NaN	NaN	0	1	1	0	1	0
3	1	1	48	11064	2872	0.40179885353427380323	0	1	931.56960800115484744	0	NaN	NaN	0	1	1	0	1	0
3	1	1	49	9020	9173	0.40184513921849429607	0	1	1102.3419669945724308	0	NaN	NaN	0	1	1	0	1	0
3	1	1	50	31426	2665	0.40189144131727516651	0	1	855.2502929960610345	0	NaN	NaN	0	1	1	0	1	0
3	1	1	51	62700	1045	0.40193773247301578522	0	1	924.82855700654909015	0	NaN	NaN	0	1	1	0	1	0
3	1	1	52	6631	1974	0.40198402071837335825	0	1	788.72467600740492344	0	NaN	NaN	0	1	1	0	1	0
3	1	1	53	8954	2268	0.4020303159486502409	0	1	771.63641800871118903	0	NaN	NaN	0	1	1	0	1	0
3	1	1	54	56177	7771	0.40207661956083029509	0	1	1312.2277770016808063	0	NaN	NaN	0	1	1	0	1	0
3	1	1	55	41422	6336	0.40216920245438814163	0	1	1230.008632002864033	0	NaN	NaN	0	1	1	0	1	0
3	1	1	56	53053	727	0.40221549489069730043	0	1	831.89817800302989781	0	NaN	NaN	0	1	1	0	1	0
3	1	1	57	4931	40	0.40226179431192576885	0	1	974.47954700328409672	0	NaN	NaN	0	1	1	0	1	0
3	1	1	58	65119	6000	0.40230808535125106573	0	1	1117.8175320092123002	0	NaN	NaN	0	1	1	0	1	0
3	1	1	59	72130	7046	0.40235438593663275242	0	1	1102.9627780080772936	0	NaN	NaN	0	1	1	0	1	0
3	1	1	60	40450	1607	0.40240067709237337112	0	1	826.20039000175893307	0	NaN	NaN	0	1	1	0	1	0
3	1	1	61	47783	2132	0.4024469711584970355	0	1	971.68515100202057511	0	NaN	NaN	0	1	1	0	1	0
3	1	1	62	52462	5352	0.40249325800687074661	0	1	812.95119799324311316	0	NaN	NaN	0	1	1	0	1	0
3	1	1	63	28428	2514	0.40253955067601054907	0	1	981.41254899383056909	0	NaN	NaN	0	1	2	0	1	0
3	1	2	1	11222	5730	0.40415289869997650385	0	1	555.42077499558217824	0	NaN	NaN	0	1	1	0	1	0
3	1	2	2	43995	4135	0.40419918578118085861	0	1	786.52284099371172488	0	NaN	NaN	0	1	1	0	1	0
3	1	2	3	70574	5169	0.4042454893933609128	0	1	602.22414101008325815	0	NaN	NaN	0	1	1	0	1	0
3	1	2	4	16394	5821	0.40429178136400878429	0	1	613.80353200365789235	0	NaN	NaN	0	1	1	0	1	0
3	1	2	5	36907	8842	0.40433806867804378271	0	1	680.64801199943758547	0	NaN	NaN	0	1	1	0	1	0
3	1	2	6	43995	4135	0.40438436775002628565	1	1	1064.4471179984975606	0	3	NaN	1	1	0	1	2	0
3	1	2	7	62938	4990	0.40443066251464188099	0	1	907.24088301067240536	0	NaN	NaN	0	1	1	0	1	0
3	1	2	8	25075	9955	0.40447695308830589056	0	1	878.04390200471971184	0	NaN	NaN	0	1	1	0	1	0
3	1	2	9	44654	7331	0.40452324808575212955	0	1	1111.0460459894966334	0	NaN	NaN	0	1	1	0	1	0
3	1	2	10	67903	3470	0.40456954471301287413	0	1	877.5729179906193167	0	NaN	NaN	0	1	1	0	1	0
3	1	2	11	55827	9913	0.40461583866272121668	0	1	561.91181500616949052	0	NaN	NaN	0	1	1	0	1	0
3	1	2	12	20608	3207	0.40470841957721859217	0	1	614.49533900304231793	0	NaN	NaN	0	1	1	0	1	0
3	1	2	13	44838	5799	0.40475471434183418751	0	1	555.73162100336048752	0	NaN	NaN	0	1	1	0	1	0
3	1	2	14	25730	4068	0.40480100957211107016	0	1	592.35593699850142002	0	NaN	NaN	0	1	1	0	1	0
3	1	2	15	2876	2204	0.40484731062315404415	0	1	826.51500099746044725	0	NaN	NaN	0	1	1	0	1	0
3	1	2	16	5713	7081	0.40489360445644706488	0	1	1169.7159670002292842	0	NaN	NaN	0	1	1	0	1	0
3	1	2	17	18826	3632	0.4049398982897400856	0	1	1027.7355090074706823	0	NaN	NaN	0	1	1	0	1	0
3	1	2	18	34917	3444	0.40498618641868233681	0	1	672.87818300246726722	0	NaN	NaN	0	1	1	0	1	0
3	1	2	19	32125	2840	0.40503249014727771282	0	1	742.25288200250361115	0	NaN	NaN	0	1	1	0	1	0
3	1	2	20	48560	1538	0.40507878176867961884	0	1	717.63908601133152843	0	NaN	NaN	0	1	1	0	1	0
3	1	2	21	3821	8951	0.40517136908601969481	0	1	670.17044000385794789	0	NaN	NaN	0	1	1	0	1	0
3	1	2	22	11868	8009	0.40521766396705061197	0	1	748.70207899948582053	0	NaN	NaN	0	1	1	0	1	0
3	1	2	23	41307	5772	0.40526395302731543779	0	1	560.2435170003445819	0	NaN	NaN	0	1	1	0	1	0
3	1	2	24	52657	5200	0.40531025431118905544	0	1	580.2649300021585077	0	NaN	NaN	0	1	1	0	1	0
3	1	2	25	25134	7984	0.40535654488485306501	0	1	615.77288400440011173	0	NaN	NaN	0	1	1	0	1	0
3	1	2	26	53306	9865	0.40540283988229930401	0	1	993.06157500541303307	0	NaN	NaN	0	1	1	0	1	0
3	1	2	27	55349	7367	0.40544904023408889771	0	1	875.45675599540118128	0	NaN	NaN	0	1	1	0	1	0
3	1	2	28	32626	436	0.40549532766453921795	1	1	1179.6977740013971925	0	45	NaN	1	1	0	1	2	0
3	1	2	29	27752	3014	0.40554162568878382444	0	1	1079.0259140048874542	0	NaN	NaN	0	1	1	0	1	0
3	1	2	30	10366	3569	0.40558792045339941978	0	1	702.97096000285819173	0	NaN	NaN	0	1	1	0	1	0
3	1	2	31	15375	6871	0.40568051126319915056	0	1	856.73617399879731238	0	NaN	NaN	0	1	1	0	1	0
3	1	2	32	59168	4263	0.40572680160403251648	0	1	602.92360700259450823	0	NaN	NaN	0	1	1	0	1	0
3	1	2	33	18079	3694	0.40577309520449489355	0	1	633.12752000638283789	0	NaN	NaN	0	1	1	0	1	0
3	1	2	34	70915	5322	0.40581938705872744322	0	1	712.67508799792267382	0	NaN	NaN	0	1	1	0	1	0
3	1	2	35	39430	4061	0.40586568240541964769	0	1	938.56988901097793132	0	NaN	NaN	0	1	1	0	1	0
3	1	2	36	5809	7985	0.40591197542380541563	0	1	1472.4428310000803322	0	NaN	NaN	0	1	1	0	1	0
3	1	2	37	53692	6041	0.40595827181823551655	0	1	817.3453199997311458	0	NaN	NaN	0	1	1	0	1	0
3	1	2	38	16061	6142	0.40600456495303660631	0	1	667.57495699857827276	0	NaN	NaN	0	1	1	0	1	0
3	1	2	39	51314	6843	0.40605086134746670723	0	1	703.28150999557692558	0	NaN	NaN	0	1	1	0	1	0
3	1	2	40	70074	7442	0.40609714935999363661	0	1	657.30838100716937333	0	NaN	NaN	0	1	1	0	1	0
3	1	2	41	60119	1108	0.40618974366225302219	0	1	780.54575200076214969	0	NaN	NaN	0	1	1	0	1	0
3	1	2	42	4053	9936	0.40623604040592908859	0	1	661.4121270104078576	0	NaN	NaN	0	1	1	0	1	0
3	1	2	43	8823	2757	0.40628232981543987989	0	1	878.62365999899338931	0	NaN	NaN	0	1	1	0	1	0
3	1	2	44	31894	9658	0.40632862551137804985	0	1	1106.8022510007722303	0	NaN	NaN	0	1	1	0	1	0
3	1	2	45	70574	5169	0.40637491154484450817	1	1	938.73744500160682946	0	41	NaN	1	1	0	1	2	0
3	1	2	46	57067	3376	0.40642120828852057457	0	1	903.07268600736279041	0	NaN	NaN	0	1	1	0	1	0
3	1	2	47	5986	7287	0.4064675051486119628	0	1	903.70277200418058783	0	NaN	NaN	0	1	1	0	1	0
3	1	2	48	16884	5363	0.40651380526833236217	0	1	812.07849299244116992	0	NaN	NaN	0	1	1	0	1	0
3	1	2	49	57209	5834	0.40656009537633508444	0	1	1403.232200987986289	0	NaN	NaN	0	1	1	0	1	0
3	1	2	50	46071	6448	0.40660638466943055391	0	1	762.68610599800013006	0	NaN	NaN	0	1	1	0	1	0
3	1	2	51	68894	4186	0.40665258793160319328	0	1	713.94264498667325824	0	NaN	NaN	0	1	1	0	1	0
3	1	2	52	20918	9715	0.40669888141565024853	0	1	743.86353700538165867	0	NaN	NaN	0	1	1	0	1	0
3	1	2	53	24357	1430	0.40679146291222423315	0	1	662.91395500593353063	0	NaN	NaN	0	1	1	0	1	0
3	1	2	54	57631	9621	0.40683775872457772493	0	1	655.34855399164371192	0	NaN	NaN	0	1	1	0	1	0
3	1	2	55	22888	7112	0.40688405232504010201	0	1	557.72382800932973623	0	NaN	NaN	0	1	1	0	1	0
3	1	2	56	58758	9845	0.40693034569267183542	0	1	939.45926100423093885	0	NaN	NaN	0	1	1	0	1	0
3	1	2	57	53130	7473	0.4069766470929607749	0	1	802.22391299321316183	0	NaN	NaN	0	1	1	0	1	0
3	1	2	58	6432	60	0.40702293789945542812	0	1	715.92573399539105594	0	NaN	NaN	0	1	1	0	1	0
3	1	2	59	8823	2757	0.40706923638936132193	1	1	946.68665599601808935	0	15	NaN	1	1	0	1	2	0
3	1	2	60	45999	2704	0.40711553057190030813	0	1	620.5964970140485093	0	NaN	NaN	0	1	1	0	1	0
3	1	2	61	21621	8634	0.40716181532479822636	1	0	730.55068599933292717	0	104	NaN	1	0	1	0	1	0
3	1	2	62	16259	4900	0.40720811823848634958	0	1	617.99129001155961305	0	NaN	NaN	0	1	1	0	1	0
3	1	3	1	11023	7336	0.40885230829007923603	0	1	715.36127199942711741	0	NaN	NaN	0	1	1	0	1	0
3	1	3	2	70336	970	0.40889861516188830137	0	1	965.56992200203239918	0	NaN	NaN	0	1	1	0	1	0
3	1	3	3	32890	4229	0.40894489584024995565	0	1	1157.0369839901104569	0	NaN	NaN	0	1	1	0	1	0
3	1	3	4	47314	3770	0.40899119595997035503	0	1	653.07318499253597111	0	NaN	NaN	0	1	1	0	1	0
3	1	3	5	39885	3284	0.40903748420532792807	0	1	617.10078499163500965	0	NaN	NaN	0	1	1	0	1	0
3	1	3	6	52935	6316	0.40908378723543137312	0	1	601.49075200024526566	0	NaN	NaN	0	1	1	0	1	0
3	1	3	7	42166	1266	0.40913006349001079798	0	1	559.37124899355694652	0	NaN	NaN	0	1	1	0	1	0
3	1	3	8	36577	479	0.40917638037353754044	0	1	610.85376699338667095	0	NaN	NaN	0	1	1	0	1	0
3	1	3	9	32224	6277	0.40922265429981052876	0	1	517.44929800042882562	0	NaN	NaN	0	1	1	0	1	0
